catalog	author	short_title	title	dissertation	publication_place	publication_year
Kungliga	NA	en nyttig och tydelig anwisning 	En nyttig och tydelig anwisning til swenska och finska språket; hwarigenom en, som språket intet lärdt, inhämtar uti handel, resor, uti godt folks samqwäm, frågor och swar, tydelig hjelp. Yxi hyödyllinen ja selkiä johdatus ruotsin ja	FALSE	Vaasa	1776
Kungliga	NA	kongl wasa hofrätts universaler och 	Kongl. Wasa hof-rätts universaler och circulairer. Wasa, tryckt hos C.A. Londicer. =1-2. 1821.=	FALSE	Vaasa	1776
Kungliga	NA	methodus conversandi cum deo det 	Methodus conversandi cum Deo. Det är: Kort dock grundelig anledning til en stadig umgängelse med Gud. Jemte et företal, om förberedelse dertil, samt huru mången, genom sielfwållande förhinder, stänger sig derifrån. Ny uplaga. Wasa, 1776	FALSE	Vaasa	1776
Kungliga	Zachariae, Carl Henric (1698-1782)	en rätt evangelisk begäran och 	En rätt evangelisk begäran och kallelse nämligen at komma och njuta det af Gud i Christo beredda härliga goda; hwilken kallelse skedde i en weko-predikan d. 18 augusti 1734, öfwer Luce XIV:17. eller evangelium på 2 söndagen efter trinitatis	FALSE	Vaasa	1777
Kungliga	Seydlitz, Johann August (1704-1751)	frälsarens jesu christi innerliga längtan 	Frälsarens Jesu Christi innerliga längtan efter människornas öfwerswinneliga salighet; förestäld uti en år 1734 den 27 october, öfwer Es. 48:17.18. inför hans maj:t, konungen i Danmark och Norrige, i desz slotts capell efter nådig befallning	FALSE	Vaasa	1777
Kungliga	Hersleb, Peder (1689-1757)	guds barns dagliga framträdande til 	Guds barns dagliga framträdande til nådastolen, eller Utwalda morgon- och afton-böner, på alla dagar i wekan, dem til nytta som wilja tilbedja Gud i andanom och i sanningen. Först sammanskrifne på danska tungomålet af P. Hersleb .	FALSE	Vaasa	1777
Kungliga	Aspegren, Hans Henric (1741-1790)	pedersöre landtman eller tankar om 	Pedersöre landtman eller Tankar om landtbrukets hinder och hjelp i Pedersöre sokn af Österbotn och Wasa län; aflemnade på sin faders, probstens ... Gabriel Andersson Aspegrens befallning, af Hans Henric Aspegren. ... Wasa, 1777. Tryckt	FALSE	Vaasa	1777
Kungliga	NA	gustaf med guds nåde sweriges 	Gustaf med Guds Nåde Sweriges, Göthes och Wendes Konung ... alla de lagar, hwilka tid efter annan, så af Riksens ständer, som osz sjelfwe blifwit i detta mål stadgade, både de, som blifwit urfärdade emot yppighet i kläder, och de, som til fabriquernes upkomst i Riket blifwit faststälte .	FALSE	Vaasa	1778
Kungliga	Båld, Eric	mag eric bålds tolf christendomsreglor 	Mag. Eric Bålds Tolf christendoms-reglor, förestälte uti aftonsången på 19 söndagen efter trinitatis uti Stor-kyrkan i Stockholm, år 1734. Uplagde i Upsala 1772. Wasa, 1778. Tryckte hos Georg Wilhelm Londicer, kongl. privil. boktryckare	FALSE	Vaasa	1778
Kungliga	NA	några upbyggeliga bref wasa 1778 	Några upbyggeliga bref. Wasa, 1778. Tryckte hos Georg Wilhelm Londicer. Kongl. privil. boktryckare	FALSE	Vaasa	1778
Kungliga	Florén, Gabriel (NA-1705)	sömnlösa nätter wid warande krankhet 	Sömnlösa nätter, wid warande krankhet, då i betraktande är kommit, de gudfruktigas lidande på jorden, och glädje i himmelen, samt de ogudaktigas wälgång i lifwet, och undergång i döden. Framgifne af Gabriel Floren. Wasa, 1778. Tryckt	FALSE	Vaasa	1778
Kungliga	Snellman, Johan Niclas (1769-1844)	tal då hans kongl höghet 	Tal, då hans kongl. höghet, Swea rikes kron-prints Gustaf Adolphs höga födelse-fest firades; hållit til de hos handelsmannen i Gamle Carleby herr Henric Rahm församlade barn, d. 30 november 1778; af Johan Niclas Snellman. Wasa. Tryckt	FALSE	Vaasa	1778
Kungliga	Cavander, Christian (1730-1812)	jesu rätte lärjungars eller de 	Jesu rätte lärjungars eller de trognas andeliga swagheter, förestälda uti högmässo-predikan, på andre dag påsk, i Wasa stads- och Mustasaari församlings kyrka, år 1779, och på en wärd åhörares begäran och omkostnad til trycket framgifna	FALSE	Vaasa	1779
Kungliga	Hersleb, Peder (1689-1757)	jumalan lasten jokapäiväinen edeskäyminen armoistuimen 	Jumalan lasten jokapäiväinen edeskäyminen armoistuimen tygö...[Guds barns dagliga framträdande inför nådatronen	FALSE	Vaasa	1779
Kungliga	NA	utdrag af rådstufwurättens protocoll hållit 	Utdrag af rådstufwu-rättens protocoll, hållit i Gamla Carleby stad, d. 7 junii 1779. =(Rubr.)= (Wasa, tryckt af Georg Wilhelm Londicer.	FALSE	Vaasa	1779
Kungliga	Hannelius, Salomon (1722-1796)	christillisen meidän autuudemma opin perustuxet 	Christillisen meidän autuudemma opin perustuxet lyhykäisisä kysymyxisä ja wastauxisa, nijn kuin ne, erinomattain rippi lapsille, sitte kuin he catechismuxensa opin auttawasti ulkoa ja sisäldä lukia taitawat, ensimmäisen walmistuxen alla Herran korkiast kallille ehtolliselle, lukkareilda ensin, ja sen jälken pappiudelta, taitaan edespidettää ja pandaa. Jotka yhteenkoottuina on ulosandanut S.H	FALSE	Vaasa	1780
Kungliga	Tollesson, Pehr (1747-1821)	en christelig upwäckelsepredikan i anledning 	En christelig upwäckelse-predikan; i anledning af evangelio om den yttersta domen, på 26 söndagen efter trinitatis, hållen i kongl. artillerie-kyrkan i Stockholm, år 1774. Och på trägen anhållan til trycket lämnad af Pehr Tollesson	FALSE	Vaasa	1780
Kungliga	Bäkman, Olof	soldaten olof bäkmans bref til 	Soldaten Olof Bäkmans bref, til Anna Rågel i Sastmola. Wasa, 1780. Tryckt af Georg Wilhelm Londicer	FALSE	Vaasa	1780
Kungliga	NA	underrättelse för dem som anlägga 	Underrättelse för dem, som anlägga saltpetter-lador, men sakna underwisning uti det, som så wäl til sielfwa platsens wäljande hörer, som ladans byggande, jordens införande och sedermera anfucktande, med hwad mer som derwid nödigt kan	FALSE	Vaasa	1780
Kungliga	Hersleb, Peder (1689-1757)	en människas förhärdelse såsom det 	En människas förhärdelse, såsom det aldraolycksaligaste tilstånd, hon kan komma uti. Förestäld uti en predikan, på 10de söndagen efter trinitatis, hållen på det kongl. hofwet för deras majestäter i Dannemark och Köpenhamn, af P. Hersleb	FALSE	Vaasa	1781
Kungliga	Hersleb, Peder (1689-1757)	guds barns dagliga framgång til 	Guds barns dagliga framgång til nådastolen, eller Utwalda morgon- och afton-böner, på alla dagar i wekan, dem til nytta som wilja tilbedja Gud i andanom och i sanningen. Först sammanskrifne på danska tungomålet af P. Hersleb. ... och	FALSE	Vaasa	1781
Kungliga	Lau, Samuel (1703-1746)	christuxen veren voima 	Christuxen veren voima .	FALSE	Vaasa	1782
Kungliga	Tollesson, Pehr (1747-1821)	guds barns fördolda lif med 	Guds barns fördolda lif med Christo i Gudi, förestäldt i en christelig högmäszo-predikan i anledning af evangelio på annan dag påska. Af Pehr Tollesson. Wasa, 1782. Tryckt af Georg Wilhelm Londicer. Efter tryckt exemplar ifrån Stockholm	FALSE	Vaasa	1782
Kungliga	Björkman, Fredrik Adolf	om trädplantering	Om trädplantering	FALSE	Vaasa	1782
Kungliga	Björkman, Fredrik Adolph (1753-1807)	om trädplantering anon wasa 1782 	Om träd-plantering. =Anon.= Wasa, 1782. Tryckt af Georg Wilhelm Londicer	FALSE	Vaasa	1782
Kungliga	Frosterus, Eric	nijden terwellisten sanain muoto 2 	Nijden terwellisten sanain muoto, 2 Tim. 1:13. Sijnä järjestyxesä kuin d. Lutheruxen catechismus sen päkappaleisa sisällänspitä, nijden enimmäin catechismuxen selittäitten johdatuxen jälkeen, edeswetänyt ja kokoonpannut yxinkertaisisa kysymyxisä ja wastauxisa. Wuonna 1782. Eric Frosterus v. past. ja cappalainen Haukiputan kappelilla, Iin pitäjäsä	FALSE	Vaasa	1783
Kungliga	Kingo, Thomas (1634-1703)	thomas kingos andelige sångechor jämte 	Thomas Kingos Andelige sånge-chor. Jämte tilökning af andre tröstrika sånger. Wasa, 1783. Tryckt af Georg Wilhelm Londicer, efter tryckt exemplar	FALSE	Vaasa	1783
Kungliga	Tiselius, Daniel (1682-1744)	jesu lidandes kraft och nytta 	Jesu lidandes kraft och nytta uti bedröfwade syndares andeliga uprättelse. Ny uplaga./(Daniel Tiselius.) Wasa, 1784. Tryckt af Georg Wilhelm Londicer	FALSE	Vaasa	1784
Kungliga	Sellegren, Peter (1713-1749)	petter sellegrens afskedsbref til annerstad 	Petter Sellegrens Afskeds-bref, til Annerstad och Nöttia församlingar, hwarest han uti 14 års tid warit lärare, då han, för öfwadt bedrägeri emot riksens ständers bank, på Järntorget i Stockholm, undergick det honom ådömde döds-straffet	FALSE	Vaasa	1784
Kungliga	Fénelon, François De Salignac De La Mothe (1651-1715)	den trogna rådsherren eller berättelse 	Den trogna råds-herren, eller Berättelse om Selim, som ifrån en fattig wall-gåsse omsider blef den förnämsta råds- och fält-herren i persiska riket. Öfwersättning. =Anon=. Wasa tryckt år 1785. [G.V. Londicer.	FALSE	Vaasa	1785
Kungliga	Hast, Barthold Rudolf (1724-1784)	kårtt underrättelse huru man bör 	Kårtt underrättelse, huru man bör sig förhålla wid yppande boskaps-pest./(H.R. Hast.) Wasa, 1786. Tryckt af Georg Wilhelm Londicer	FALSE	Vaasa	1786
Kungliga	Hedberg, Fredric (1748-1791)	meidän herran jesuxen christuxen terwelliset 	Meidän Herran Jesuxen Christuxen terwelliset sanat ja se oppi, kuin jumalisudesta on: I Tim. 6:3. Eli yxi tarpellinen meidän christillisydemme opin-kappalden selitys lyhykäisten ja yxinkertaisten kysymysten ja wastausten kautta, nijlle erinomattain ylösrakennuxexi, jotka aikowat walmista itsiänsä rippi-schouluun, ja ensimmäisen kerran käymään ripille ja Herran Jesuxen korkialle ehtolliselle, edespandu Fredrik Hedbergildä kappalainen Wihannin seurakunnasa, Salon pitäjäsä .	FALSE	Vaasa	1786
Kungliga	Ganander, Christfrid (1741-1790)	runokirja joka sisällänsä pitää 1 	Runo-kirja joka sisällänsä pitää 1 K. Salomonin korkia weisum.	FALSE	Vaasa	1786
Kungliga	Chydenius, Anders (1729-1803)	tal hållit på afrättsplasen  	Tal, hållit på afrättsplasen [!] i Kronoby, af Anders Chydenius ... då soldaterna Matts Hjelt, Abraham Frodig och Peter Lindström för begångit mord, rån och mordbränneri uppå barna-läraren wid Teirijärwi capell, Johan Mattsson och des hustru, til följe af höglofl. kongl. Wasa hof-rätts dom, miste högra handen, halshöggos och steglades den 12 april 1786	FALSE	Vaasa	1786
Kungliga	Schütz, Johann Jacob (1640-1690)	christelig minnesbok til at befrämja 	Christelig minnes-bok, til at befrämja et begynt nytt lefwerne; i hwilken gifwes en kårt och enfaldig anledning för en wälsinnad själ, til syndenes bårtläggande, den inwärtes människans uplysning, och föreningen med Gud. Ifrån tyskan	FALSE	Vaasa	1787
Kungliga	NA	den trogna stalldrängen eller några 	Den trogna stalldrängen, eller Några försökte botemedel för mäst gångbara häste-sjukdomar. Wasa, tryckt af Georg Wilh. Londicer, 1787. Efter tryckt exemplar	FALSE	Vaasa	1787
Kungliga	Londicer, Georg Wilhelm (1745-1804)	no 1 stora mesal fractur 	N:o 1. Stora mesal fractur. / Jesus alt mitt goda är, för mig har / N:o 2. Stora canon fractur. / ... =(Text.)= (Prof af swenska stilar, hwilka finnas uti kongl. privilegierade boktryckeriet i Wasa 1787. [G.V. Londicer.] 	FALSE	Vaasa	1787
Kungliga	Lithovius, Isaac (1677-1730)	ulosweto kysymyzistä jotka ennen tätä 	Ulosweto kysymyzistä, jotka ennen tätä Mart.Lutheruxen catechismuxen, ja Gezeliuxen kysymys kirjan.	FALSE	Vaasa	1787
Kungliga	NA	långfredags tankar rubr wasa tryckt 	Långfredags tankar. =(Rubr.)= (Wasa. Tryckt. Af. Georg. Wilhelm. Londicer. 1788.	FALSE	Vaasa	1788
Kungliga	NA	medborgare	Medborgare!	FALSE	Vaasa	1788
Kungliga	NA	medborgare  rubr	Medborgare! *) =(Rubr.)=	FALSE	Vaasa	1788
Kungliga	Dahlberg, Johan Peter (1750-1815)	tal hållit i nyköpings wästra 	Tal, hållit i Nyköpings wästra eller Nicolai kyrka den 10 augusti 1788, af Joh. Pet. Dahlberg ... Wasa, tryckt af Georg Wilhelm Londicer 1788. Efter tryckt exemplar	FALSE	Vaasa	1788
Kungliga	Tammelin, Lars (1669-1733)	berättelse om storfurstendömet finlands och 	Berättelse om stor-furstendömet Finlands och Österbottens bedröfliga tilstånd af ryssarnes grufweliga med fart i förra tider. Framgifwen i 1717 och 1718 års almanachor, af Laurent. Tammelin, då warande mathem. professor i Åbo. Omtryckt	FALSE	Vaasa	1789
Kungliga	NA	en kårrt berättelse om en 	En kårrt berättelse, om en fattig man wid namn Joseph. Tryckt år 1785, uti Hadersleben på tyska; hwarifrån den på swenska blifwit öfwersatt	FALSE	Vaasa	1789
Kungliga	Gustav,  (1746-1792)	kongl majts tal hållit til 	Kongl. maj:ts tal, hållit til riksens ständer på riks-salen i Stockholms slott, wid riksdagens öpnande måndagen den 2 februarii 1789. Wasa. Tryckt af Georg Wilhelm Londicer. Efter tryckt exemplar	FALSE	Vaasa	1789
Kungliga	Gustav,  (1746-1792)	konungens tal hållit på rikssalen 	Konungens tal, hållit på riks-salen then 17 februarii 1789, i alla fyra ståndens närwaro. Wasa, tryckt af Georg Wilhelm Londicer. Efter tryckt exemplar	FALSE	Vaasa	1789
Kungliga	NA	berättelse om kongl armeens flottas 	Berättelse om kongl. armeens flottas seger wid Fredricshamn, den 15 maji 1790, under konungens höga befäl: =(Rubr.)= (Wasa, tryckt af Georg Wilhelm Londicer, 1790.	FALSE	Vaasa	1790
Kungliga	NA	berättelse om kongl armeens flottas 	Berättelse om Kongl. Armeens Flottas Seger wid Fredricshamn, den 15 Maji 1790, under Konungens höga befäl	FALSE	Vaasa	1790
Kungliga	Mathesius, Georg (1732-1816)	en lärares christeliga anmärkningar öfwer 	En lärares christeliga anmärkningar, öfwer en tros bekännelse, den han infordrat och hwilken honom blifwit lemnad af en hans åhörare./(Georg Mathesius.) Wasa, 1790. Tryckte af Georg Wilhelm Londicer	FALSE	Vaasa	1790
Kungliga	Cneiff, Johan David (1722-1791)	hjertelig tacksäjelse låf och glädjesång 	Hjertelig tacksäjelse- låf- och glädje-sång, inför fridsens Gud; öfwer den af Sweriges aldrahuldaste konung, konung Gustaf den 3:dje, med Ryszland slutne ärefulla och segerrika friden, den 14 augusti 1790. Författad af Johan Dawid Cneiff	FALSE	Vaasa	1790
Kungliga	Creiman, Anders (1707-1707)	wederqweckande själaro eller hundrade andelige 	Wederqweckande själa-ro, eller: Hundrade andelige sånger, hwarigenom en christtrogen själ kan upwäckas til gudelig andackt, märkelig förbättring och dagelig upbyggelse uti sin christendom: jemwäl ock deraf hämta en kraftig tröst under sitt mödosamma lefwerne. Sammansatte af A.C. Förbättrad uplaga	FALSE	Vaasa	1791
Kungliga	Michaëlis, Johann David (1717-1791)	johan david michaëlis tankar om 	Johan David Michaëlis Tankar om den fara, som wid mened är. Öfwersättning, utur denna förträffelige lutherske lärares anmärkningar til tyska öfwersättningen af gamla testamentet. Wasa; tryckt af Georg Wilhelm Londicer, 1793	FALSE	Vaasa	1793
Kungliga	Munselius, Eric (1743-1802)	christelig afskedspredikan förställande en sann 	Christelig afskeds-predikan, förställande en sann christen med Christo, såsom öfwergifwande werlden och gående till Fadren; i Wasa och Mustasaari moderkyrka, hållen tredje söndagen efter påsk, och efter begäran till trycket lämnad af	FALSE	Vaasa	1795
Kungliga	Gustav,  (1778-1837)	kongl majts tal på rikssalen 	Kongl. maj:ts tal, på rikssalen den 1 nowember 1796, då kongl. maj:t emottog rikets styrelse. Wasa, 1796. Tryckt af Georg Wilhelm Londicer	FALSE	Vaasa	1796
Kungliga	Lenz, Christian David (1720-1798)	styrkan af skriftenes bewis för 	Styrkan af skriftenes bewis för den wigtiga läran om Jesu Christi tilfyllestgörelse, korteligen förestäld och på begäran 1780 utgifwen af Christian Dawid Lenz ... Öfwersätning af C.U.W. Wasa, 1796. Tryckt af Georg Wilhelm Londicer	FALSE	Vaasa	1796
Kungliga	Frosterus, Joh	hyödyllinen huvitus luomisen töistä 	Hyödyllinen huvitus luomisen töistä .	FALSE	Vaasa	1797
Kungliga	Gellert, Christian Fürchtegott (1715-1769)	tröst af det ewiga lifwet 	Tröst af det ewiga lifwet. Öfwersättning, ur Gellert. Wasa, Georg Wilhelm Londicer. [1799.	FALSE	Vaasa	1799
Kungliga	Hersleb, Peder (1689-1757)	guds barns dagliga framgång til 	Guds barns dagliga framgång til nådastolen, eller Utwalda morgon- och afton-böner, på alla dagar i weckan, dem til nytta som wilja tilbedja Gud i andanom och i sanningen. Först sammanskrifne på danska tungomålet af P. Hersleb. ... Och	FALSE	Vaasa	1800
Kungliga	Gustav,  (1778-1837)	konungens tal hållit til riksens 	Konungens tal, hållit til riksens ständer på riks-salen i Norrköping, wid riksdagens början den 15 martii 1800. Wasa, tryckt af Georg Wilh. Londicer	FALSE	Vaasa	1800
Kungliga	NA	kongl majts faststäldte nådige brandordning 	Kongl. Maj:ts faststäldte Nådige Brand-Ordning, för Wasa, Gamla Carleby, Jacobstad, Ny Carleby, Christina och Kaskö Städer i Wasa Län; Gifwen Stockholms Slott den 4 December 1800	FALSE	Vaasa	1801
Kungliga	NA	kongl majts nådigst faststäldte byggnads 	Kongl. Maj:ts Nådigst faststäldte Byggnads Ordning för Wasa, Gamla Carleby, Jacobstad, Ny Carleby, Christina och Kaskö Städer i Wasa Län; Gifwen Stockholms Slott den 4 December 1800	FALSE	Vaasa	1801
Kungliga	NA	skriftwäxling uti en hos konungen 	Skriftwäxling uti en hos konungen af Cajana läns innebyggare underdånigst yppad fråga om uphäfwande af kongl. Cajana bataillon; jämte konungens deröfwer gifne nådiga utslag af den 29 julii 1799. Wasa, 1801. Tryckt af Georg Wilhelm Londicer	FALSE	Vaasa	1801
Kungliga	NA	trenne helt nya och gudeliga 	Trenne helt nya och gudeliga wisor, den första: är öfwer doctor Rambachs dageliga bön, om en salig ändalyckt. Lifwets Gud och källa, som &c. Sjunges som: Jesus är min hägnad &c. Den andra: är en christens låfsång, efter öfwerstånden	FALSE	Vaasa	1802
Kungliga	NA	hengellinen vartia sionin tyttärillen	Hengellinen vartia Sionin tyttärillen.	FALSE	Vaasa	1803
Kungliga	NA	zionin lasten keskinäinen kehoitusja iloveisu	Zionin lasten keskinäinen kehoitus-ja ilo-veisu.	FALSE	Vaasa	1803
Kungliga	NA	undersöknings protocoller och utslag angående 	Undersöknings protocoller och utslag angående afledne handlandens i Jacobstad Anders Aspegrens begrafnings sätt. Wasa, tryckt hos G.W. Londicers enka år 1805	FALSE	Vaasa	1805
Kungliga	NA	twänne nya och gudeliga wisor 	Twänne nya och gudeliga wisor, den första: En botfärdig synderskas wid namn Maria Hinricsdotter Österwiks sista afskedssång, då hon för begångit mord på sit egit fyra års gammalt flicke-barn, til sit wälförtjenta straff utgick at mista	FALSE	Vaasa	1806
Kungliga	NA	kongl maysts nådiga tilläggningar uti 	Kongl. may:sts nådiga tilläggningar uti infanterie- exercitie-reglementet. Wasa, tryckt hos G.W. Londicers enka. 1807	FALSE	Vaasa	1807
Kungliga	Schoultz, Nils Fredrik Von (1767-1816)	berättelse om ryssarnes mord wåldsamheter 	Berättelse om ryssarnes mord, wåldsamheter och plundring i Wasa stad samt landsbygden deromkring. =(Rubr.)=/(N.F. von Schoultz ...) [Wasa, Carl Anton Londicer.	FALSE	Vaasa	1808
Kungliga	NA	kongl wasa hofrätts universaler och 	Kongl. Wasa hof-rätts universaler och circulairer. Wasa, tryckt hos C.A. Londicer. =1-2. 1821.=	FALSE	Vaasa	1808
Kungliga	NA	en stor men benådad syndares 	En stor, men benådad, syndares berättelse om sig sjelf. Wasa, 1817. Tryckt hos Carl Anton Londicer	FALSE	Vaasa	1817
Kungliga	Frosterus, Eric Johan (1776-1826)	personalier öfver contractsprosten i wasa 	Personalier öfver contracts-prosten i Wasa östra prosteri, kyrkoherden öfver Storkyro pastorat ... Nils =AE=jmelæus; i anledning af hans begrafning i Storkyro moderkyrka den 22 april 1817, författade och uppläste af Eric Joh. Frosterus	FALSE	Vaasa	1817
Kungliga	Forsman, Georg Jakob	botanologi för begynnare efter cjhartmans 	Botanologi för begynnare, efter C.J.Hartmans vextlära bearb	FALSE	Vaasa	1839
Kungliga	Hübner, Johann (1668-1731)	berättelser ur den heliga skrift	Berättelser ur den heliga skrift	FALSE	Vaasa	1844
Kungliga	Wänman, Israel (1723-1795)	commissionslandtmätaren iwänmans sätt at ludra 	Commissions-landtmätaren I.Wänmans sätt at ludra för vargar	FALSE	Vaasa	1844
Kungliga	Finelius, Carl August	finsk språklära för lägre elementarskolor	Finsk språklära för lägre elementar-skolor	FALSE	Vaasa	1845
Kungliga	Grafström, Anders (1790-1870)	se on myöhän	Se on myöhän	FALSE	Vaasa	1845
Kungliga	Luther, Martin (1483-1546)	förklaring öfver fader vår för 	Förklaring öfver Fader vår, för enfaldiga lekmän, 1518	FALSE	Vaasa	1846
Kungliga	Essen, Carl Gustaf Von (1815-1895)	anmärkningar vid förslag till kyrkolag 	Anmärkningar vid 'Förslag till kyrkolag för Storfurstendömet Finland'	FALSE	Vaasa	1847
Kungliga	Bunyan, John (1628-1688)	den himmelska löparen af johan 	Den himmelska löparen, af Johan Bunian	FALSE	Vaasa	1848
Kungliga	Ohlsson, J	tabeller för utspädning af bränvin 	Tabeller för utspädning af bränvin, uträknade af författaren till Bränvinsprofvare-tabellen	FALSE	Vaasa	1848
Kungliga	Bunyan, John (1628-1688)	guds nåd som sträcker sig 	Guds nåd, som sträcker sig till de största syndare, eller Johan Bunians omvändelse, beskrifven af honom sjelf	FALSE	Vaasa	1849
Kungliga	Bergroth, Julius Efraim	elementarlärobok i fysiken	Elementarlärobok i fysiken	FALSE	Vaasa	1850
Kungliga	Hjelt, Carl Wilhelm	försök till praktisk arithmetik	Försök till praktisk arithmetik	FALSE	Vaasa	1850
Kungliga	Sadelin, Pehr Ulrik Ferd Inand	huru skall barnauppfostran så handhafvas 	Huru skall barnauppfostran så handhafvas, att Guds namn genom den varder äradt och hans församling uppbyggd?	FALSE	Vaasa	1850
Kungliga	NA	elfva andeliga sånger till väckelse 	Elfva andeliga sånger till väckelse och uppmuntran	FALSE	Vaasa	1851
Kungliga	Stenbäck, Lars Jacob	thomas arnold rektor i rugby 	Thomas Arnold, rektor i Rugby i England	FALSE	Vaasa	1851
Kungliga	Lilius, August	lärobok i handelsvetenskapen egenteligen för 	Lärobok i handelsvetenskapen, egenteligen för handelsskolor, men äfven till sjelfstudium	FALSE	Vaasa	1857
Kungliga	Westberg, J Ohan U Lrik	kort anwisning att medelst hartsade 	Kort anwisning att medelst hartsade saxar fånga räfwar och wargar både med bete och på tramp	FALSE	Vaasa	1863
Kungliga	Alcenius, Otto Alfred	betydelsen af darwins theori för 	Betydelsen af Darwins theori för det naturliga vextsystemet	FALSE	Vaasa	1864
Kungliga	Alcenius, Maria Charlotta	dikter	Dikter	FALSE	Vaasa	1865
Kungliga	Laurén, Ludvig Leonard (1824-1884)	fysikens grundsanningar framställda med ledning 	Fysikens grundsanningar, framställda med ledning af enkla experimenter, en lärobok för folk-,söndags- och borgareskolor samt fruntimmersskolor, efter F.E.J.Crügers 'Naturlehre für den Unterricht in Elementarschulen, achte Aufl.1861'	FALSE	Vaasa	1866
Kungliga	Laurén, Ludvig Leonard (1824-1884)	handbok i tankeoch talöfningar	Handbok i tanke-och talöfningar	FALSE	Vaasa	1866
Kungliga	Svedberg, Anders	några varningsord till demsom ofreda 	Några varningsord till dem,som ofreda telegrafledningen	FALSE	Vaasa	1866
Kungliga	Lindskog, J	mekaniska problemer	Mekaniska problemer	FALSE	Vaasa	1867
Kungliga	Inberg, Fredrik Leonard	daggdroppar	Daggdroppar	FALSE	Vaasa	1869
Kungliga	NA	kyrkohistoriska folkskrifter	Kyrkohistoriska folkskrifter	FALSE	Vaasa	1870
Kungliga	Swedberg, A Nders	svensk stafnings och rättstafningslära för 	Svensk stafnings- och rättstafningslära för nybegynnare, jemte ett bihang, innehållande de första grunderna för svenska språkläran och interpunktionsläran.	FALSE	Vaasa	1870
Kungliga	Wenman, Fredrika (1803-1873)	bleka blommor	Bleka blommor	FALSE	Vaasa	1871
Kungliga	NA	handlingar rörande besättandet af direktorstjensten 	Handlingar, rörande besättandet af direktorstjensten vid folkskollärarinne-seminarium i Ekenäs, utg. af J. Oskar I. Rancken	FALSE	Vaasa	1872
Kungliga	Laurén, Ludvig Leonard (1824-1884)	om folkskolors nödvändighet	Om folkskolors nödvändighet	FALSE	Vaasa	1872
Kungliga	Tamsén, Johan	några ord om våra skogs 	Några ord om våra skogs- och sjöfoglars nytta	FALSE	Vaasa	1873
Kungliga	Rancken, Johan Oskar Immanuel (1824-1895)	förteckning öfer folksånger melodier sagor 	Förteckning öfer folksånger, melodier, sagor och äfentyr från det svenska Österbotten	FALSE	Vaasa	1874
Kungliga	Laurén, Ludvig Leonard (1824-1884)	fysikens grundsanningar framställda med ledning 	Fysikens grundsanningar, framställda med ledning af enkla experimenter, en lärobok för folk-,söndags- och borgareskolor samt fruntimmersskolor, efter F.E.J.Crügers 'Naturlehre für den Unterricht in Elementarschulen, achte Aufl.1861'	FALSE	Vaasa	1874
